NVCBP8A,NVCBP8G,NVCBP12,NVCBP13,NVCBP14A,NVCBP14B,NVCBP14D,NVCBP14I,NVCBP15D,NVCBP15F,NPCFP14F,MPIO,NPCEP5,NPCEP4,NVCBP12,NVCBP13,Fecha_anio
2,2,1,2,2,2,2,2,2,2,1,Bogotá,2,42,1,2,2021
1,2,1,4,2,2,2,1,2,2,1,Bogotá,2,18,1,4,2021
1,2,1,4,2,2,2,2,1,2,1,Bogotá,2,48,1,4,2021
2,2,1,4,1,2,2,2,2,2,1,Bogotá,2,69,1,4,2021
2,2,1,2,2,2,2,2,1,2,1,Bogotá,1,39,1,2,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,2,46,1,4,2021
1,2,1,4,2,2,2,2,1,2,1,Bogotá,1,42,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,25,1,4,2021
2,2,1,4,1,1,2,1,1,1,1,Bogotá,1,59,1,4,2021
2,2,1,4,1,2,2,1,2,1,1,Bogotá,2,61,1,4,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,1,10,1,4,2021
2,2,1,4,2,2,2,2,2,1,1,Bogotá,1,5,1,4,2021
1,2,1,6,2,2,2,2,1,2,1,Bogotá,1,34,1,6,2021
1,2,1,4,1,2,2,2,2,2,1,Bogotá,1,34,1,4,2021
1,2,1,4,1,2,2,2,2,2,1,Bogotá,2,6,1,4,2021
1,2,1,4,1,2,2,2,2,2,1,Bogotá,2,19,1,4,2021
1,2,1,4,1,2,2,2,2,2,1,Bogotá,2,57,1,4,2021
1,2,1,4,1,2,2,2,2,2,1,Bogotá,1,49,1,4,2021
2,2,1,4,2,2,2,1,2,2,1,Bogotá,1,20,1,4,2021
2,2,1,4,2,2,2,1,2,2,1,Bogotá,1,16,1,4,2021
2,2,1,4,1,2,2,1,1,2,1,Bogotá,2,34,1,4,2021
2,2,1,4,1,1,1,1,2,2,1,Bogotá,2,30,1,4,2021
2,2,1,4,2,2,2,1,1,1,1,Bogotá,2,51,1,4,2021
2,2,1,4,2,1,2,2,2,2,1,Bogotá,2,17,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,44,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,16,1,4,2021
